Imagem,Numero de gotas,Densidade (gotas/cm²),Cobertura (%)
1,4355,221.8,6.28
2,5721,291.37,12.51
3,6217,316.63,8.26
4,4120,209.83,8.06
5,4806,244.77,5.97
6,5223,266.01,3.97
7,5698,290.2,4.04
8,4125,210.08,4.36
9,4913,250.22,6.52
10,2230,113.57,3.43
11,3877,197.45,4.71
12,5682,289.38,4.74
13,2492,126.92,2.62
14,2666,135.78,2.51
15,1559,79.4,1.55
16,1398,71.2,1.2
17,2051,104.46,1.97
18,1990,101.35,3.03
19,3444,175.4,2.55
20,3574,182.02,15.02
21,2435,124.01,7.52
22,2369,120.65,8.37
23,1105,56.28,4.34
24,1202,61.22,5.11
25,1660,84.54,8.75
26,1356,69.06,7.45
27,1516,77.21,8.03
28,1335,67.99,5.6
29,1812,92.28,7.54
30,1828,93.1,5.12
31,1305,66.46,6.35
32,1886,96.05,13.37
33,2388,121.62,7.96
34,1063,54.14,4.17
35,852,43.39,4.14
36,1518,77.31,5.7
37,825,42.02,3.04
38,1446,73.64,5.86
39,830,42.27,3.31
40,1133,57.7,10.79
41,1737,88.46,14.57
42,1444,73.54,11.6
43,1673,85.21,12.42
44,2083,106.09,13.35
45,990,50.42,12.16
46,1524,77.62,7.29
47,779,39.67,7.06
48,2311,117.7,8.61
49,1636,83.32,9.67
50,1162,59.18,11.14
51,1078,54.9,13.46
52,860,43.8,4.05
53,1270,64.68,13.74
54,1417,72.17,10.49
55,1411,71.86,13.23
56,1361,69.32,10.95
57,733,37.33,10.33
58,1265,64.43,12.59
59,1814,92.39,9.16
